id,cname,planting,harvest,wsgd,gwad
14617,Tunduma,2023-02-03,2023-06-12,0,3462
14618,Tunduma,2023-01-31,2023-06-08,0,3297
14619,Tunduma,2023-02-13,2023-06-22,0,3661
14620,Tunduma,2023-02-04,2023-06-11,0,3383
14621,Tunduma,2023-02-17,2023-06-22,0.438,3038
14622,Tunduma,2023-01-26,2023-05-31,0,3008
14623,Tunduma,2023-01-25,2023-05-31,0,3125
14624,Tunduma,2023-01-26,2023-06-01,0,3183
14625,Tunduma,2023-02-01,2023-06-09,0,3167
14626,Tunduma,2023-01-28,2023-06-07,0,3449
14627,Tunduma,2023-01-28,2023-06-05,0,3320
14628,Tunduma,2023-02-09,2023-06-20,0,3632
14629,Tunduma,2023-01-22,2023-05-28,0,3208
14630,Tunduma,2023-02-05,2023-06-12,0,3437
14631,Tunduma,2023-01-29,2023-06-10,0,3504
14632,Tunduma,2023-02-12,2023-06-20,0,3525
14633,Tunduma,2023-02-10,2023-06-19,0,3530
14634,Tunduma,2023-02-10,2023-06-17,0,3643
14635,Tunduma,2023-02-06,2023-06-14,0,3326
14636,Tunduma,2023-02-11,2023-06-22,0.241,3742
14637,Tunduma,2023-01-29,2023-06-07,0,3386
14638,Tunduma,2023-01-22,2023-05-28,0,3123
14639,Tunduma,2023-02-13,2023-06-22,0.388,3572
14640,Tunduma,2023-01-31,2023-06-07,0,3342
14641,Kilombero,2022-01-08,2022-06-04,0,4282
14642,Kilombero,2022-01-11,2022-06-05,0,4235
14643,Kilombero,2022-01-19,2022-06-05,0,3453
14644,Kilombero,2022-01-20,2022-06-05,0,3341
14645,Kilombero,2022-01-20,2022-06-05,0,3341
14646,Kilombero,2022-01-15,2022-06-05,0,4069
14647,Kilombero,2022-01-19,2022-06-05,0,3453
14648,Kilombero,2022-01-08,2022-06-04,0,4289
14649,Kilombero,2022-01-28,2022-06-05,0,2736
14650,Kilombero,2022-01-24,2022-06-05,0,3040
14651,Kilombero,2022-01-07,2022-05-31,0,4356
14652,Kilombero,2022-01-12,2022-06-05,0,4147
14653,Kilombero,2022-01-13,2022-06-05,0,4240
14654,Kilombero,2022-01-07,2022-05-31,0,4356
14655,Kilombero,2022-01-21,2022-06-05,0,3293
14656,Kilombero,2022-01-16,2022-06-05,0,3956
14657,Kilombero,2022-01-17,2022-06-05,0,3747
14658,Kilombero,2022-01-29,2022-06-05,0,2705
14659,Kilombero,2022-01-05,2022-05-29,0,4253
14660,Kilombero,2022-01-11,2022-06-05,0,4237
14661,Kilombero,2022-01-30,2022-06-05,0,2669
14662,Kilombero,2022-01-17,2022-06-05,0,3752
14663,Kilombero,2022-01-12,2022-06-05,0,4147
