gid,cname,ensemble,harvest,planting,wsgd
18,Buhigwe,10,2022-01-21,2021-09-22,0
18,Buhigwe,27,2022-01-21,2021-09-22,0
18,Buhigwe,19,2022-01-21,2021-09-22,0
18,Buhigwe,26,2022-01-22,2021-09-23,0
24,Lake Tanganyika,36,2022-01-22,2021-09-23,0
24,Lake Tanganyika,23,2022-01-22,2021-09-23,0
18,Buhigwe,36,2022-01-22,2021-09-23,0
24,Lake Tanganyika,21,2022-01-22,2021-09-23,0
24,Lake Tanganyika,9,2022-01-22,2021-09-23,0
24,Lake Tanganyika,32,2022-01-22,2021-09-23,0
18,Buhigwe,13,2022-01-22,2021-09-23,0
18,Buhigwe,20,2022-01-24,2021-09-24,0
18,Buhigwe,26,2022-01-24,2021-09-24,0
24,Lake Tanganyika,6,2022-01-26,2021-09-25,0
18,Buhigwe,17,2022-01-26,2021-09-25,0
24,Lake Tanganyika,8,2022-01-26,2021-09-25,0
18,Buhigwe,17,2022-01-26,2021-09-25,0
18,Buhigwe,8,2022-01-26,2021-09-25,0
24,Lake Tanganyika,39,2022-01-26,2021-09-25,0
24,Lake Tanganyika,33,2022-01-26,2021-09-25,0
18,Buhigwe,31,2022-01-26,2021-09-25,0
24,Lake Tanganyika,16,2022-01-26,2021-09-25,0
24,Lake Tanganyika,27,2022-01-27,2021-09-26,0
18,Buhigwe,28,2022-01-27,2021-09-26,0
24,Lake Tanganyika,26,2022-01-27,2021-09-26,0
18,Buhigwe,15,2022-01-28,2021-09-27,0
18,Buhigwe,15,2022-01-28,2021-09-27,0
18,Buhigwe,24,2022-01-28,2021-09-27,0
18,Buhigwe,4,2022-01-28,2021-09-27,0
24,Lake Tanganyika,5,2022-01-29,2021-09-28,0
24,Lake Tanganyika,1,2022-01-29,2021-09-28,0
24,Lake Tanganyika,10,2022-01-29,2021-09-28,0
18,Buhigwe,40,2022-01-29,2021-09-28,0
24,Lake Tanganyika,14,2022-01-29,2021-09-28,0
18,Buhigwe,38,2022-01-29,2021-09-28,0
18,Buhigwe,23,2022-01-30,2021-09-29,0
24,Lake Tanganyika,24,2022-01-30,2021-09-29,0
24,Lake Tanganyika,11,2022-01-30,2021-09-29,0
24,Lake Tanganyika,36,2022-01-30,2021-09-29,0
24,Lake Tanganyika,40,2022-01-31,2021-09-30,0
24,Lake Tanganyika,11,2022-01-31,2021-09-30,0
24,Lake Tanganyika,34,2022-01-31,2021-09-30,0
18,Buhigwe,39,2022-01-31,2021-09-30,0
24,Lake Tanganyika,31,2022-01-31,2021-09-30,0
18,Buhigwe,37,2022-01-31,2021-09-30,0
24,Lake Tanganyika,2,2022-01-31,2021-09-30,0
18,Buhigwe,6,2022-02-02,2021-10-01,0
18,Buhigwe,1,2022-02-02,2021-10-01,0
18,Buhigwe,8,2022-02-02,2021-10-01,0
18,Buhigwe,12,2022-02-02,2021-10-01,0
24,Lake Tanganyika,28,2022-02-02,2021-10-01,0
18,Buhigwe,25,2022-02-02,2021-10-01,0
18,Buhigwe,32,2022-02-03,2021-10-02,0
24,Lake Tanganyika,40,2022-02-03,2021-10-02,0
18,Buhigwe,22,2022-02-04,2021-10-03,0
24,Lake Tanganyika,39,2022-02-04,2021-10-03,0
18,Buhigwe,14,2022-02-04,2021-10-03,0
24,Lake Tanganyika,29,2022-02-04,2021-10-03,0
24,Lake Tanganyika,12,2022-02-05,2021-10-04,0
18,Buhigwe,20,2022-02-05,2021-10-04,0
18,Buhigwe,21,2022-02-05,2021-10-04,0
24,Lake Tanganyika,18,2022-02-05,2021-10-04,0
34,Kyela,4,2022-02-07,2021-10-05,0
34,Kyela,19,2022-02-07,2021-10-05,0
18,Buhigwe,34,2022-02-07,2021-10-05,0
24,Lake Tanganyika,20,2022-02-07,2021-10-05,0
18,Buhigwe,25,2022-02-07,2021-10-05,0
24,Lake Tanganyika,14,2022-02-07,2021-10-05,0
19,Kasulu,2,2022-02-08,2021-10-06,0
2,Chamwino,31,2022-02-08,2021-10-06,0
34,Kyela,31,2022-02-08,2021-10-06,0
17,Mpanda Urban,16,2022-02-08,2021-10-06,0
17,Mpanda Urban,5,2022-02-08,2021-10-06,0
5,Kondoa,34,2022-02-08,2021-10-06,0
73,Manyoni,3,2022-02-08,2021-10-06,0
78,Kaliua,7,2022-02-08,2021-10-06,0
74,Mkalama,11,2022-02-08,2021-10-06,0
72,Iramba,20,2022-02-08,2021-10-06,0
14,Lake Tanganyika,1,2022-02-08,2021-10-06,0
16,Mpanda,35,2022-02-08,2021-10-06,0
21,Kibondo,39,2022-02-08,2021-10-06,0
4,Dodoma Urban,31,2022-02-08,2021-10-06,0
21,Kibondo,36,2022-02-08,2021-10-06,0
76,Singida Urban,33,2022-02-08,2021-10-06,0
7,Mpwapwa,22,2022-02-08,2021-10-06,0
4,Dodoma Urban,29,2022-02-08,2021-10-06,0
25,Uvinza,1,2022-02-08,2021-10-06,0
15,Mlele,27,2022-02-08,2021-10-06,0
4,Dodoma Urban,19,2022-02-08,2021-10-06,0
4,Dodoma Urban,33,2022-02-08,2021-10-06,0
82,Urambo,11,2022-02-08,2021-10-06,0
72,Iramba,30,2022-02-08,2021-10-06,0
34,Kyela,11,2022-02-08,2021-10-06,0
2,Chamwino,3,2022-02-08,2021-10-06,0
79,Nzega,4,2022-02-08,2021-10-06,0
23,Kigoma Urban,7,2022-02-08,2021-10-06,0
19,Kasulu,36,2022-02-08,2021-10-06,0
6,Kongwa,32,2022-02-08,2021-10-06,0
34,Kyela,13,2022-02-08,2021-10-06,0
4,Dodoma Urban,35,2022-02-08,2021-10-06,0
4,Dodoma Urban,39,2022-02-08,2021-10-06,0
81,Tabora Urban,38,2022-02-08,2021-10-06,0
6,Kongwa,18,2022-02-08,2021-10-06,0
6,Kongwa,10,2022-02-08,2021-10-06,0
5,Kondoa,27,2022-02-08,2021-10-06,0
81,Tabora Urban,22,2022-02-08,2021-10-06,0
81,Tabora Urban,20,2022-02-08,2021-10-06,0
18,Buhigwe,2,2022-02-08,2021-10-06,0
7,Mpwapwa,7,2022-02-08,2021-10-06,0
23,Kigoma Urban,23,2022-02-08,2021-10-06,0
24,Lake Tanganyika,24,2022-02-08,2021-10-06,0
24,Lake Tanganyika,21,2022-02-08,2021-10-06,0
20,Kasulu Township Authority,17,2022-02-08,2021-10-06,0
18,Buhigwe,21,2022-02-08,2021-10-06,0
71,Ikungi,14,2022-02-08,2021-10-06,0
75,Singida Rural,14,2022-02-08,2021-10-06,0
1,Bahi,40,2022-02-10,2021-10-07,0
76,Singida Urban,40,2022-02-10,2021-10-07,0
74,Mkalama,8,2022-02-10,2021-10-07,0
78,Kaliua,24,2022-02-10,2021-10-07,0
22,Kigoma Rural,39,2022-02-10,2021-10-07,0
22,Kigoma Rural,29,2022-02-10,2021-10-07,0
25,Uvinza,29,2022-02-10,2021-10-07,0
82,Urambo,19,2022-02-10,2021-10-07,0
82,Urambo,23,2022-02-10,2021-10-07,0
22,Kigoma Rural,9,2022-02-10,2021-10-07,0
78,Kaliua,19,2022-02-10,2021-10-07,0
79,Nzega,13,2022-02-10,2021-10-07,0
19,Kasulu,33,2022-02-10,2021-10-07,0
72,Iramba,36,2022-02-10,2021-10-07,0
24,Lake Tanganyika,33,2022-02-10,2021-10-07,0
34,Kyela,39,2022-02-10,2021-10-07,0
15,Mlele,12,2022-02-10,2021-10-07,0
78,Kaliua,18,2022-02-10,2021-10-07,0
71,Ikungi,10,2022-02-10,2021-10-07,0
2,Chamwino,40,2022-02-10,2021-10-07,0
14,Lake Tanganyika,33,2022-02-10,2021-10-07,0
17,Mpanda Urban,2,2022-02-10,2021-10-07,0
78,Kaliua,35,2022-02-10,2021-10-07,0
4,Dodoma Urban,6,2022-02-10,2021-10-07,0
83,Uyui,33,2022-02-10,2021-10-07,0
77,Igunga,35,2022-02-10,2021-10-07,0
1,Bahi,15,2022-02-10,2021-10-07,0
22,Kigoma Rural,3,2022-02-10,2021-10-07,0
1,Bahi,17,2022-02-10,2021-10-07,0
81,Tabora Urban,9,2022-02-10,2021-10-07,0
19,Kasulu,39,2022-02-10,2021-10-07,0
18,Buhigwe,2,2022-02-10,2021-10-07,0
15,Mlele,16,2022-02-10,2021-10-07,0
77,Igunga,24,2022-02-10,2021-10-07,0
24,Lake Tanganyika,25,2022-02-10,2021-10-07,0
24,Lake Tanganyika,3,2022-02-10,2021-10-07,0
15,Mlele,22,2022-02-10,2021-10-07,0
74,Mkalama,10,2022-02-10,2021-10-07,0
14,Lake Tanganyika,20,2022-02-10,2021-10-07,0
7,Mpwapwa,17,2022-02-10,2021-10-07,0
21,Kibondo,31,2022-02-10,2021-10-07,0
4,Dodoma Urban,34,2022-02-10,2021-10-07,0
1,Bahi,38,2022-02-10,2021-10-07,0
4,Dodoma Urban,21,2022-02-10,2021-10-07,0
76,Singida Urban,28,2022-02-10,2021-10-07,0
7,Mpwapwa,14,2022-02-10,2021-10-07,0
4,Dodoma Urban,30,2022-02-10,2021-10-07,0
20,Kasulu Township Authority,6,2022-02-10,2021-10-07,0
24,Lake Tanganyika,7,2022-02-10,2021-10-07,0
16,Mpanda,34,2022-02-10,2021-10-07,0
71,Ikungi,40,2022-02-10,2021-10-07,0
7,Mpwapwa,11,2022-02-10,2021-10-07,0
7,Mpwapwa,4,2022-02-10,2021-10-07,0
76,Singida Urban,39,2022-02-10,2021-10-07,0
15,Mlele,21,2022-02-11,2021-10-08,0
24,Lake Tanganyika,27,2022-02-11,2021-10-08,0
79,Nzega,35,2022-02-11,2021-10-08,0
5,Kondoa,39,2022-02-11,2021-10-08,0
71,Ikungi,21,2022-02-11,2021-10-08,0
18,Buhigwe,22,2022-02-11,2021-10-08,0
78,Kaliua,33,2022-02-11,2021-10-08,0
18,Buhigwe,29,2022-02-11,2021-10-08,0
82,Urambo,5,2022-02-11,2021-10-08,0
1,Bahi,37,2022-02-11,2021-10-08,0
18,Buhigwe,5,2022-02-11,2021-10-08,0
23,Kigoma Urban,25,2022-02-11,2021-10-08,0
3,Chemba,37,2022-02-11,2021-10-08,0
23,Kigoma Urban,31,2022-02-11,2021-10-08,0
21,Kibondo,23,2022-02-11,2021-10-08,0
18,Buhigwe,32,2022-02-11,2021-10-08,0
25,Uvinza,16,2022-02-11,2021-10-08,0
21,Kibondo,24,2022-02-11,2021-10-08,0
22,Kigoma Rural,30,2022-02-11,2021-10-08,0
34,Kyela,12,2022-02-11,2021-10-08,0
34,Kyela,26,2022-02-11,2021-10-08,0
7,Mpwapwa,1,2022-02-11,2021-10-08,0
34,Kyela,36,2022-02-11,2021-10-08,0
76,Singida Urban,17,2022-02-11,2021-10-08,0
83,Uyui,8,2022-02-11,2021-10-08,0
2,Chamwino,26,2022-02-11,2021-10-08,0
5,Kondoa,9,2022-02-11,2021-10-08,0
2,Chamwino,27,2022-02-11,2021-10-08,0
6,Kongwa,35,2022-02-11,2021-10-08,0
76,Singida Urban,15,2022-02-11,2021-10-08,0
25,Uvinza,39,2022-02-11,2021-10-08,0
24,Lake Tanganyika,15,2022-02-11,2021-10-08,0
80,Sikonge,13,2022-02-11,2021-10-08,0
78,Kaliua,31,2022-02-11,2021-10-08,0
21,Kibondo,11,2022-02-11,2021-10-08,0
14,Lake Tanganyika,13,2022-02-11,2021-10-08,0
80,Sikonge,22,2022-02-11,2021-10-08,0
71,Ikungi,34,2022-02-11,2021-10-08,0
21,Kibondo,22,2022-02-12,2021-10-09,0
79,Nzega,11,2022-02-12,2021-10-09,0
77,Igunga,22,2022-02-12,2021-10-09,0
74,Mkalama,16,2022-02-12,2021-10-09,0
20,Kasulu Township Authority,37,2022-02-12,2021-10-09,0
80,Sikonge,19,2022-02-12,2021-10-09,0
80,Sikonge,29,2022-02-12,2021-10-09,0
72,Iramba,4,2022-02-12,2021-10-09,0
24,Lake Tanganyika,9,2022-02-12,2021-10-09,0
1,Bahi,3,2022-02-12,2021-10-09,0
73,Manyoni,28,2022-02-12,2021-10-09,0
20,Kasulu Township Authority,16,2022-02-12,2021-10-09,0
20,Kasulu Township Authority,21,2022-02-12,2021-10-09,0
79,Nzega,2,2022-02-12,2021-10-09,0
15,Mlele,19,2022-02-12,2021-10-09,0
20,Kasulu Township Authority,20,2022-02-12,2021-10-09,0
79,Nzega,38,2022-02-12,2021-10-09,0
1,Bahi,4,2022-02-12,2021-10-09,0
3,Chemba,14,2022-02-12,2021-10-09,0
6,Kongwa,7,2022-02-12,2021-10-09,0
2,Chamwino,30,2022-02-12,2021-10-09,0
17,Mpanda Urban,33,2022-02-12,2021-10-09,0
80,Sikonge,10,2022-02-12,2021-10-09,0
73,Manyoni,33,2022-02-12,2021-10-09,0
22,Kigoma Rural,20,2022-02-12,2021-10-09,0
24,Lake Tanganyika,13,2022-02-12,2021-10-09,0
14,Lake Tanganyika,3,2022-02-12,2021-10-09,0
79,Nzega,32,2022-02-12,2021-10-09,0
14,Lake Tanganyika,21,2022-02-12,2021-10-09,0
18,Buhigwe,16,2022-02-12,2021-10-09,0
18,Buhigwe,33,2022-02-12,2021-10-09,0
21,Kibondo,29,2022-02-12,2021-10-09,0
15,Mlele,11,2022-02-12,2021-10-09,0
16,Mpanda,36,2022-02-12,2021-10-09,0
74,Mkalama,37,2022-02-12,2021-10-09,0
4,Dodoma Urban,26,2022-02-12,2021-10-09,0
15,Mlele,10,2022-02-12,2021-10-09,0
77,Igunga,15,2022-02-12,2021-10-09,0
78,Kaliua,4,2022-02-12,2021-10-09,0
17,Mpanda Urban,10,2022-02-12,2021-10-09,0
3,Chemba,36,2022-02-12,2021-10-09,0
18,Buhigwe,3,2022-02-12,2021-10-09,0
75,Singida Rural,2,2022-02-12,2021-10-09,0
72,Iramba,37,2022-02-12,2021-10-09,0
18,Buhigwe,11,2022-02-12,2021-10-09,0
34,Kyela,30,2022-02-12,2021-10-09,0
6,Kongwa,39,2022-02-12,2021-10-09,0
18,Buhigwe,33,2022-02-12,2021-10-09,0
76,Singida Urban,14,2022-02-13,2021-10-10,0
20,Kasulu Township Authority,24,2022-02-13,2021-10-10,0
71,Ikungi,3,2022-02-13,2021-10-10,0
4,Dodoma Urban,32,2022-02-13,2021-10-10,0
72,Iramba,23,2022-02-13,2021-10-10,0
78,Kaliua,6,2022-02-13,2021-10-10,0
24,Lake Tanganyika,35,2022-02-13,2021-10-10,0
73,Manyoni,21,2022-02-13,2021-10-10,0
74,Mkalama,36,2022-02-13,2021-10-10,0
15,Mlele,33,2022-02-13,2021-10-10,0
7,Mpwapwa,36,2022-02-13,2021-10-10,0
14,Lake Tanganyika,10,2022-02-13,2021-10-10,0
83,Uyui,2,2022-02-13,2021-10-10,0
17,Mpanda Urban,25,2022-02-13,2021-10-10,0
79,Nzega,17,2022-02-13,2021-10-10,0
19,Kasulu,12,2022-02-13,2021-10-10,0
6,Kongwa,23,2022-02-13,2021-10-10,0
3,Chemba,31,2022-02-13,2021-10-10,0
21,Kibondo,10,2022-02-13,2021-10-10,0
81,Tabora Urban,37,2022-02-13,2021-10-10,0
81,Tabora Urban,23,2022-02-13,2021-10-10,0
81,Tabora Urban,19,2022-02-13,2021-10-10,0
5,Kondoa,5,2022-02-13,2021-10-10,0
16,Mpanda,10,2022-02-13,2021-10-10,0
25,Uvinza,38,2022-02-13,2021-10-10,0
24,Lake Tanganyika,13,2022-02-13,2021-10-10,0
16,Mpanda,12,2022-02-13,2021-10-10,0
83,Uyui,17,2022-02-13,2021-10-10,0
14,Lake Tanganyika,40,2022-02-13,2021-10-10,0
75,Singida Rural,3,2022-02-13,2021-10-10,0
14,Lake Tanganyika,36,2022-02-13,2021-10-10,0
73,Manyoni,35,2022-02-13,2021-10-10,0
17,Mpanda Urban,15,2022-02-13,2021-10-10,0
77,Igunga,18,2022-02-13,2021-10-10,0
2,Chamwino,29,2022-02-13,2021-10-10,0
19,Kasulu,35,2022-02-13,2021-10-10,0
24,Lake Tanganyika,34,2022-02-13,2021-10-10,0
76,Singida Urban,20,2022-02-13,2021-10-10,0
76,Singida Urban,22,2022-02-13,2021-10-10,0
72,Iramba,33,2022-02-13,2021-10-10,0
23,Kigoma Urban,35,2022-02-15,2021-10-11,0
2,Chamwino,33,2022-02-15,2021-10-11,0
14,Lake Tanganyika,14,2022-02-15,2021-10-11,0
14,Lake Tanganyika,35,2022-02-15,2021-10-11,0
71,Ikungi,23,2022-02-15,2021-10-11,0
16,Mpanda,23,2022-02-15,2021-10-11,0
34,Kyela,40,2022-02-15,2021-10-11,0
18,Buhigwe,9,2022-02-15,2021-10-11,0
73,Manyoni,10,2022-02-15,2021-10-11,0
19,Kasulu,18,2022-02-15,2021-10-11,0
77,Igunga,34,2022-02-15,2021-10-11,0
25,Uvinza,4,2022-02-15,2021-10-11,0
81,Tabora Urban,28,2022-02-15,2021-10-11,0
6,Kongwa,15,2022-02-15,2021-10-11,0
76,Singida Urban,5,2022-02-15,2021-10-11,0
79,Nzega,28,2022-02-15,2021-10-11,0
1,Bahi,34,2022-02-15,2021-10-11,0
1,Bahi,33,2022-02-15,2021-10-11,0
3,Chemba,18,2022-02-15,2021-10-11,0
72,Iramba,11,2022-02-15,2021-10-11,0
79,Nzega,6,2022-02-15,2021-10-11,0
24,Lake Tanganyika,3,2022-02-15,2021-10-11,0
79,Nzega,1,2022-02-15,2021-10-11,0
17,Mpanda Urban,40,2022-02-15,2021-10-11,0
21,Kibondo,19,2022-02-15,2021-10-11,0
78,Kaliua,27,2022-02-15,2021-10-11,0
18,Buhigwe,6,2022-02-15,2021-10-11,0
82,Urambo,18,2022-02-15,2021-10-11,0
7,Mpwapwa,33,2022-02-15,2021-10-11,0
7,Mpwapwa,27,2022-02-15,2021-10-11,0
76,Singida Urban,29,2022-02-15,2021-10-11,0
80,Sikonge,38,2022-02-15,2021-10-11,0
21,Kibondo,35,2022-02-15,2021-10-11,0
7,Mpwapwa,13,2022-02-15,2021-10-11,0
7,Mpwapwa,12,2022-02-15,2021-10-11,0
1,Bahi,20,2022-02-15,2021-10-11,0
75,Singida Rural,24,2022-02-15,2021-10-11,0
5,Kondoa,35,2022-02-15,2021-10-11,0
24,Lake Tanganyika,31,2022-02-15,2021-10-11,0
23,Kigoma Urban,10,2022-02-15,2021-10-11,0
78,Kaliua,9,2022-02-15,2021-10-11,0
75,Singida Rural,11,2022-02-15,2021-10-11,0
71,Ikungi,15,2022-02-15,2021-10-11,0
3,Chemba,39,2022-02-16,2021-10-12,0
34,Kyela,34,2022-02-16,2021-10-12,0
75,Singida Rural,9,2022-02-16,2021-10-12,0
73,Manyoni,16,2022-02-16,2021-10-12,0
76,Singida Urban,35,2022-02-16,2021-10-12,0
2,Chamwino,34,2022-02-16,2021-10-12,0
20,Kasulu Township Authority,35,2022-02-16,2021-10-12,0
18,Buhigwe,28,2022-02-16,2021-10-12,0
82,Urambo,15,2022-02-16,2021-10-12,0
83,Uyui,16,2022-02-16,2021-10-12,0
77,Igunga,20,2022-02-16,2021-10-12,0
24,Lake Tanganyika,37,2022-02-16,2021-10-12,0
20,Kasulu Township Authority,22,2022-02-16,2021-10-12,0
75,Singida Rural,32,2022-02-16,2021-10-12,0
72,Iramba,32,2022-02-16,2021-10-12,0
82,Urambo,20,2022-02-16,2021-10-12,0
24,Lake Tanganyika,4,2022-02-16,2021-10-12,0
16,Mpanda,7,2022-02-16,2021-10-12,0
2,Chamwino,11,2022-02-16,2021-10-12,0
81,Tabora Urban,5,2022-02-16,2021-10-12,0
23,Kigoma Urban,24,2022-02-16,2021-10-12,0
21,Kibondo,40,2022-02-16,2021-10-12,0
17,Mpanda Urban,6,2022-02-16,2021-10-12,0
77,Igunga,1,2022-02-16,2021-10-12,0
6,Kongwa,14,2022-02-16,2021-10-12,0
72,Iramba,2,2022-02-16,2021-10-12,0
74,Mkalama,20,2022-02-16,2021-10-12,0
3,Chemba,20,2022-02-16,2021-10-12,0
73,Manyoni,2,2022-02-16,2021-10-12,0
4,Dodoma Urban,25,2022-02-16,2021-10-12,0
76,Singida Urban,9,2022-02-16,2021-10-12,0
19,Kasulu,31,2022-02-16,2021-10-12,0
1,Bahi,28,2022-02-16,2021-10-12,0
79,Nzega,16,2022-02-16,2021-10-12,0
3,Chemba,26,2022-02-16,2021-10-12,0
20,Kasulu Township Authority,36,2022-02-16,2021-10-12,0
7,Mpwapwa,26,2022-02-16,2021-10-12,0
7,Mpwapwa,2,2022-02-16,2021-10-12,0
15,Mlele,37,2022-02-16,2021-10-12,0
81,Tabora Urban,13,2022-02-18,2021-10-13,0
73,Manyoni,22,2022-02-18,2021-10-13,0
25,Uvinza,30,2022-02-18,2021-10-13,0
74,Mkalama,38,2022-02-18,2021-10-13,0
75,Singida Rural,26,2022-02-18,2021-10-13,0
6,Kongwa,40,2022-02-18,2021-10-13,0
6,Kongwa,34,2022-02-18,2021-10-13,0
6,Kongwa,29,2022-02-18,2021-10-13,0
1,Bahi,35,2022-02-18,2021-10-13,0
81,Tabora Urban,34,2022-02-18,2021-10-13,0
81,Tabora Urban,33,2022-02-18,2021-10-13,0
81,Tabora Urban,21,2022-02-18,2021-10-13,0
6,Kongwa,6,2022-02-18,2021-10-13,0
18,Buhigwe,19,2022-02-18,2021-10-13,0
83,Uyui,40,2022-02-18,2021-10-13,0
71,Ikungi,11,2022-02-18,2021-10-13,0
17,Mpanda Urban,21,2022-02-18,2021-10-13,0
17,Mpanda Urban,20,2022-02-18,2021-10-13,0
73,Manyoni,36,2022-02-18,2021-10-13,0
24,Lake Tanganyika,18,2022-02-18,2021-10-13,0
19,Kasulu,21,2022-02-18,2021-10-13,0
76,Singida Urban,16,2022-02-18,2021-10-13,0
20,Kasulu Township Authority,40,2022-02-18,2021-10-13,0
4,Dodoma Urban,36,2022-02-18,2021-10-13,0
20,Kasulu Township Authority,19,2022-02-18,2021-10-13,0
24,Lake Tanganyika,29,2022-02-18,2021-10-13,0
2,Chamwino,36,2022-02-18,2021-10-13,0
24,Lake Tanganyika,19,2022-02-18,2021-10-13,0
22,Kigoma Rural,4,2022-02-18,2021-10-13,0
77,Igunga,3,2022-02-18,2021-10-13,0
16,Mpanda,28,2022-02-18,2021-10-13,0
16,Mpanda,25,2022-02-18,2021-10-13,0
34,Kyela,32,2022-02-18,2021-10-13,0
1,Bahi,2,2022-02-18,2021-10-13,0
25,Uvinza,34,2022-02-18,2021-10-13,0
18,Buhigwe,35,2022-02-18,2021-10-13,0
16,Mpanda,4,2022-02-18,2021-10-13,0
75,Singida Rural,4,2022-02-18,2021-10-13,0
6,Kongwa,2,2022-02-18,2021-10-13,0
23,Kigoma Urban,22,2022-02-18,2021-10-13,0
14,Lake Tanganyika,11,2022-02-18,2021-10-13,0
18,Buhigwe,5,2022-02-18,2021-10-13,0
25,Uvinza,26,2022-02-18,2021-10-13,0
18,Buhigwe,11,2022-02-18,2021-10-13,0
15,Mlele,31,2022-02-18,2021-10-13,0
14,Lake Tanganyika,2,2022-02-18,2021-10-13,0
18,Buhigwe,23,2022-02-18,2021-10-13,0
7,Mpwapwa,8,2022-02-18,2021-10-13,0
78,Kaliua,12,2022-02-18,2021-10-13,0
74,Mkalama,5,2022-02-19,2021-10-14,0
2,Chamwino,24,2022-02-19,2021-10-14,0
71,Ikungi,32,2022-02-19,2021-10-14,0
83,Uyui,13,2022-02-19,2021-10-14,0
1,Bahi,5,2022-02-19,2021-10-14,0
2,Chamwino,13,2022-02-19,2021-10-14,0
18,Buhigwe,24,2022-02-19,2021-10-14,0
80,Sikonge,15,2022-02-19,2021-10-14,0
15,Mlele,18,2022-02-19,2021-10-14,0
5,Kondoa,24,2022-02-19,2021-10-14,0
18,Buhigwe,18,2022-02-19,2021-10-14,0
34,Kyela,28,2022-02-19,2021-10-14,0
80,Sikonge,7,2022-02-19,2021-10-14,0
24,Lake Tanganyika,19,2022-02-19,2021-10-14,0
72,Iramba,38,2022-02-19,2021-10-14,0
34,Kyela,25,2022-02-19,2021-10-14,0
19,Kasulu,10,2022-02-19,2021-10-14,0
77,Igunga,14,2022-02-19,2021-10-14,0
78,Kaliua,8,2022-02-19,2021-10-14,0
19,Kasulu,40,2022-02-19,2021-10-14,0
82,Urambo,32,2022-02-19,2021-10-14,0
7,Mpwapwa,18,2022-02-19,2021-10-14,0
82,Urambo,37,2022-02-19,2021-10-14,0
15,Mlele,30,2022-02-19,2021-10-14,0
3,Chemba,32,2022-02-19,2021-10-14,0
34,Kyela,8,2022-02-19,2021-10-14,0
75,Singida Rural,27,2022-02-19,2021-10-14,0
20,Kasulu Township Authority,13,2022-02-19,2021-10-14,0
73,Manyoni,15,2022-02-19,2021-10-14,0
78,Kaliua,22,2022-02-19,2021-10-14,0
25,Uvinza,12,2022-02-19,2021-10-14,0
82,Urambo,24,2022-02-19,2021-10-14,0
15,Mlele,3,2022-02-19,2021-10-14,0
1,Bahi,31,2022-02-19,2021-10-14,0
21,Kibondo,7,2022-02-19,2021-10-14,0
75,Singida Rural,22,2022-02-19,2021-10-14,0
21,Kibondo,3,2022-02-19,2021-10-14,0
21,Kibondo,2,2022-02-19,2021-10-14,0
34,Kyela,15,2022-02-19,2021-10-14,0
3,Chemba,24,2022-02-19,2021-10-14,0
4,Dodoma Urban,7,2022-02-19,2021-10-14,0
73,Manyoni,8,2022-02-19,2021-10-14,0
24,Lake Tanganyika,28,2022-02-19,2021-10-14,0
18,Buhigwe,3,2022-02-19,2021-10-14,0
24,Lake Tanganyika,26,2022-02-19,2021-10-14,0
5,Kondoa,4,2022-02-19,2021-10-14,0
23,Kigoma Urban,28,2022-02-19,2021-10-14,0
72,Iramba,40,2022-02-19,2021-10-14,0
3,Chemba,11,2022-02-19,2021-10-14,0
16,Mpanda,2,2022-02-19,2021-10-14,0
24,Lake Tanganyika,37,2022-02-19,2021-10-14,0
74,Mkalama,32,2022-02-19,2021-10-14,0
74,Mkalama,31,2022-02-20,2021-10-17,0
82,Urambo,25,2022-02-20,2021-10-15,0
76,Singida Urban,34,2022-02-20,2021-10-17,0
4,Dodoma Urban,18,2022-02-20,2021-10-15,0
76,Singida Urban,26,2022-02-20,2021-10-15,0
4,Dodoma Urban,14,2022-02-20,2021-10-15,0
34,Kyela,9,2022-02-20,2021-10-15,0
75,Singida Rural,36,2022-02-20,2021-10-17,0
2,Chamwino,7,2022-02-20,2021-10-15,0
2,Chamwino,6,2022-02-20,2021-10-15,0
76,Singida Urban,18,2022-02-20,2021-10-15,0
19,Kasulu,28,2022-02-20,2021-10-17,0
24,Lake Tanganyika,30,2022-02-20,2021-10-17,0
34,Kyela,16,2022-02-20,2021-10-17,0
24,Lake Tanganyika,23,2022-02-20,2021-10-17,0
24,Lake Tanganyika,22,2022-02-20,2021-10-15,0
24,Lake Tanganyika,20,2022-02-20,2021-10-15,0
15,Mlele,17,2022-02-20,2021-10-15,0
22,Kigoma Rural,1,2022-02-20,2021-10-17,0
7,Mpwapwa,6,2022-02-20,2021-10-15,0
75,Singida Rural,40,2022-02-20,2021-10-17,0
77,Igunga,8,2022-02-20,2021-10-17,0
34,Kyela,21,2022-02-20,2021-10-15,0
77,Igunga,23,2022-02-20,2021-10-15,0
16,Mpanda,26,2022-02-20,2021-10-17,0
23,Kigoma Urban,9,2022-02-20,2021-10-17,0
71,Ikungi,4,2022-02-20,2021-10-17,0
1,Bahi,19,2022-02-20,2021-10-17,0
75,Singida Rural,12,2022-02-20,2021-10-17,0
71,Ikungi,19,2022-02-20,2021-10-17,0
1,Bahi,12,2022-02-20,2021-10-17,0
83,Uyui,26,2022-02-20,2021-10-15,0
83,Uyui,21,2022-02-20,2021-10-17,0
1,Bahi,6,2022-02-20,2021-10-15,0
16,Mpanda,21,2022-02-20,2021-10-15,0
16,Mpanda,14,2022-02-20,2021-10-15,0
24,Lake Tanganyika,7,2022-02-20,2021-10-15,0
24,Lake Tanganyika,6,2022-02-20,2021-10-15,0
